episode,ep_len,ep_reward,ep_mean,ep_std,fps,time_elapsed,total_timesteps,timestamp
1,106,-201.191357,-201.191357,0.000000,444.171596,0.238647,106,1761979663
2,98,-113.264888,-157.228123,43.963234,644.430775,0.152072,204,1761979663
3,114,-250.000000,-238.044888,119.796535,1918.881203,0.059410,318,1761979663
4,97,-250.000000,-250.000000,131.237169,1909.293287,0.050804,415,1761979663
5,105,-250.000000,-250.000000,122.833402,1912.296657,0.054908,520,1761979663
6,92,-121.174687,-250.000000,130.927364,1857.950917,0.049517,612,1761979663
7,126,-250.000000,-250.000000,121.392244,1832.990438,0.068740,738,1761979664
8,78,-50.718198,-242.273087,134.669833,1696.416985,0.045979,816,1761979664
9,90,-169.351905,-234.170734,129.019541,1912.509804,0.047059,906,1761979664
10,90,-239.361195,-234.689780,122.408588,1855.631280,0.048501,996,1761979664
11,89,-250.000000,-245.425374,121.549261,1776.055191,0.050111,1085,1761979664
12,61,-250.000000,-246.370676,116.416782,1674.416686,0.036431,1146,1761979664
13,78,-90.805208,-234.404102,119.284223,1835.324182,0.042499,1224,1761979664
14,72,-74.686225,-222.995682,122.083434,1909.950340,0.037697,1296,1761979664
15,84,-250.000000,-228.743382,119.888470,1930.624173,0.043509,1380,1761979664
16,92,-250.000000,-230.192257,116.217064,1939.328596,0.047439,1472,1761979664
17,86,-106.546425,-222.918973,116.440208,1901.306388,0.045232,1558,1761979664
18,122,-32.570030,-212.344032,121.269046,1918.769360,0.063582,1680,1761979664
19,76,-84.705851,-205.626233,121.426895,1844.055397,0.041214,1756,1761979664
20,135,-250.000000,-213.582333,123.328655,1868.878833,0.072236,1891,1761979664
21,99,-236.605722,-214.678684,120.456271,1824.684250,0.054256,1990,1761979664
22,111,-123.438507,-210.531404,119.211491,1826.121083,0.060785,2101,1761979664
23,76,-131.865513,-207.111148,117.689646,1887.066836,0.040274,2177,1761979664
24,68,-63.682912,-201.134971,118.723089,1884.868666,0.036077,2245,1761979664
25,90,-129.317719,-198.262281,117.172613,1924.806926,0.046758,2335,1761979664
26,77,-89.338632,-194.072910,116.790999,1874.435037,0.041079,2412,1761979664
27,82,-250.000000,-202.067821,121.642224,1848.485602,0.044361,2494,1761979664
28,82,-151.442554,-200.259776,119.819181,1841.172842,0.044537,2576,1761979665
29,82,-250.000000,-203.255044,118.797245,1896.002337,0.043249,2658,1761979665
30,93,-215.855246,-203.675051,116.822408,1922.153370,0.048383,2751,1761979665
31,66,-56.510937,-198.927821,117.827499,1759.277437,0.037515,2817,1761979665
32,158,-250.000000,-210.663245,133.111949,1920.569047,0.082267,2975,1761979665
33,140,-250.000000,-212.000342,131.297634,1894.849723,0.073884,3115,1761979665
34,96,-250.000000,-215.137724,130.601920,1881.715210,0.051017,3211,1761979665
35,85,-179.801669,-214.128123,128.857203,1902.645654,0.044675,3296,1761979665
36,118,-228.806985,-214.535869,127.077813,1954.112613,0.060385,3414,1761979665
37,82,-229.830040,-214.949225,125.373316,1848.863200,0.044352,3496,1761979665
38,115,-250.000000,-219.784910,127.161420,1655.597065,0.069461,3611,1761979665
39,118,-51.032943,-215.457936,128.323315,1866.778836,0.063210,3729,1761979665
40,154,-116.487544,-212.983676,127.647789,1984.273875,0.077610,3883,1761979665
41,110,-150.254559,-211.453698,126.452274,1829.032468,0.060141,3993,1761979665
42,94,-113.024312,-209.110141,125.835773,1901.894231,0.049424,4087,1761979665
43,90,-250.000000,-211.455013,125.288979,1939.841621,0.046396,4177,1761979665
44,106,-250.000000,-213.324627,124.462345,1793.334129,0.059108,4283,1761979665
45,118,-250.000000,-217.852732,126.683851,1817.956950,0.064908,4401,1761979666
46,114,-221.610134,-217.934415,125.300484,1681.450290,0.067799,4515,1761979666
47,83,-175.984340,-217.041860,124.108060,1594.478306,0.052055,4598,1761979666
48,106,-199.102963,-216.668133,122.835187,1715.117637,0.061803,4704,1761979666
49,101,-250.000000,-221.264137,125.676056,1763.647924,0.057268,4805,1761979666
50,126,-250.000000,-222.054669,124.535954,1514.571045,0.083192,4931,1761979666
51,80,-250.000000,-224.679288,124.697766,1620.759990,0.049360,5011,1761979666
52,88,-250.000000,-228.204454,126.032813,1598.003039,0.055069,5099,1761979666
53,80,-250.000000,-232.076898,127.923218,1884.911019,0.042442,5179,1761979666
54,134,-221.894399,-231.888333,126.740643,1836.625327,0.072960,5313,1761979666
55,88,-250.000000,-235.439535,128.265851,1905.606105,0.046180,5401,1761979666
56,207,-250.000000,-238.072318,128.606282,1901.112411,0.108884,5608,1761979666
57,128,-134.776768,-236.260116,128.192496,1907.030044,0.067120,5736,1761979666
58,231,-250.000000,-240.563226,131.169502,1946.011754,0.118704,5967,1761979666
59,107,-250.000000,-244.903185,134.187424,1831.386946,0.058426,6074,1761979666
60,93,-32.668357,-241.365938,135.810071,1906.548410,0.048779,6167,1761979666
61,122,-250.000000,-244.518041,136.887376,1928.306627,0.063268,6289,1761979667
62,228,-250.000000,-250.000000,146.159224,1940.117369,0.117519,6517,1761979667
63,122,-250.000000,-250.000000,147.342182,1930.481797,0.063197,6639,1761979667
64,98,-250.000000,-250.000000,151.070943,1929.076306,0.050802,6737,1761979667
65,81,-250.000000,-250.000000,151.074495,1851.961450,0.043737,6818,1761979667
66,134,-211.740825,-250.000000,150.050865,1962.007736,0.068297,6952,1761979667
67,179,-250.000000,-250.000000,158.005767,1946.842693,0.091944,7131,1761979667
68,79,-250.000000,-250.000000,157.090846,1835.632464,0.043037,7210,1761979667
69,105,-250.000000,-250.000000,159.060246,1811.585706,0.057960,7315,1761979667
70,129,-250.000000,-250.000000,158.019636,1931.651402,0.066782,7444,1761979667
71,86,-250.000000,-250.000000,156.998924,1853.693119,0.046394,7530,1761979667
72,81,-61.421097,-250.000000,157.874874,1806.870454,0.044829,7611,1761979667
73,115,-238.497919,-250.000000,156.835091,1839.642098,0.062512,7726,1761979667
74,167,-250.000000,-250.000000,163.705405,1945.993732,0.085817,7893,1761979667
75,107,-250.000000,-250.000000,163.101837,1871.176798,0.057183,8000,1761979667
76,96,-250.000000,-250.000000,164.550143,1823.668250,0.052641,8096,1761979668
77,86,-250.000000,-250.000000,164.621275,1887.694712,0.045558,8182,1761979668
78,114,-250.000000,-250.000000,167.306928,1925.836976,0.059195,8296,1761979668
79,125,-250.000000,-250.000000,166.735766,13.284355,9.409565,8421,1761979677
80,100,-250.000000,-250.000000,166.658397,1884.868666,0.053054,8521,1761979677
81,89,-250.000000,-250.000000,167.593767,1898.261154,0.046885,8610,1761979677
82,93,-250.000000,-250.000000,169.064666,93000000000.000000,0.000000,8703,1761979667
83,110,-250.000000,-250.000000,168.044837,1753.005205,0.062749,8813,1761979667
84,185,-250.000000,-250.000000,175.432971,1927.246951,0.095992,8998,1761979667
85,218,-250.000000,-250.000000,178.573615,2005.154060,0.108720,9216,1761979668
86,118,-160.122484,-250.000000,178.230093,1880.868107,0.062737,9334,1761979668
87,100,-250.000000,-250.000000,181.010066,1880.432190,0.053179,9434,1761979668
88,81,-250.000000,-250.000000,181.298257,1753.525874,0.046193,9515,1761979668
89,89,-250.000000,-250.000000,183.675973,1901.946084,0.046794,9604,1761979668
90,120,-250.000000,-250.000000,185.829334,1942.669317,0.061771,9724,1761979668
91,101,-250.000000,-250.000000,186.347126,1807.449980,0.055880,9825,1761979668
92,143,-250.000000,-250.000000,186.161593,1834.262430,0.077960,9968,1761979668
93,85,-250.000000,-250.000000,185.172714,1896.835060,0.044811,10053,1761979668
94,100,-250.000000,-250.000000,187.804057,1843.836520,0.054235,10153,1761979668
95,107,-250.000000,-250.000000,187.835953,1916.327678,0.055836,10260,1761979668
96,76,-250.000000,-250.000000,187.150328,1850.102463,0.041079,10336,1761979668
97,98,-250.000000,-250.000000,189.519467,1935.616872,0.050630,10434,1761979668
98,89,-250.000000,-250.000000,191.988412,1876.315939,0.047433,10523,1761979668
99,95,-250.000000,-250.000000,191.922549,1877.910850,0.050588,10618,1761979668
100,87,-250.000000,-250.000000,191.475723,1874.217107,0.046419,10705,1761979668
101,101,-250.000000,-250.000000,191.917649,1841.014081,0.054861,10806,1761979668
102,106,-250.000000,-250.000000,190.739853,1849.163477,0.057323,10912,1761979669
103,79,-250.000000,-250.000000,190.754062,1729.853697,0.045669,10991,1761979669
104,87,-250.000000,-250.000000,190.630974,1818.901833,0.047831,11078,1761979669
105,103,-250.000000,-250.000000,191.828887,1917.519516,0.053715,11181,1761979669
106,82,-250.000000,-250.000000,191.959314,1874.569708,0.043743,11263,1761979669
107,162,-250.000000,-250.000000,191.768808,1923.132272,0.084238,11425,1761979669
108,165,-250.000000,-250.000000,190.672488,1950.135427,0.084610,11590,1761979669
109,122,-250.000000,-250.000000,193.825597,1884.580579,0.064736,11712,1761979669
110,92,-250.000000,-250.000000,193.404866,1844.187594,0.049886,11804,1761979669
111,100,-250.000000,-250.000000,193.532390,1796.445061,0.055665,11904,1761979669
112,129,-242.232234,-250.000000,193.622016,1924.108975,0.067044,12033,1761979669
113,135,-250.000000,-250.000000,191.682433,1836.230453,0.073520,12168,1761979669
114,118,-250.000000,-250.000000,189.618876,1871.133361,0.063063,12286,1761979669
115,85,-250.000000,-250.000000,189.728892,1860.157050,0.045695,12371,1761979669
116,110,-250.000000,-250.000000,189.960496,1917.547526,0.057365,12481,1761979669
117,80,-250.000000,-250.000000,188.241877,1710.198265,0.046778,12561,1761979669
118,78,-250.000000,-250.000000,185.113690,1790.975546,0.043552,12639,1761979669
119,109,-250.000000,-250.000000,182.665785,1836.422171,0.059355,12748,1761979669
120,85,-250.000000,-250.000000,182.655332,1834.099042,0.046344,12833,1761979670
121,172,-250.000000,-250.000000,182.865007,1969.920343,0.087313,13005,1761979670
122,175,-250.000000,-250.000000,181.435341,1923.317105,0.090989,13180,1761979670
123,165,-250.000000,-250.000000,179.812919,1930.707465,0.085461,13345,1761979670
124,117,-250.000000,-250.000000,176.763796,1856.048170,0.063037,13462,1761979670
125,121,-250.000000,-250.000000,174.762403,1882.325741,0.064282,13583,1761979670
