episode,ep_len,ep_reward,ep_mean,ep_std,fps,time_elapsed,total_timesteps,timestamp
1,2048,-191.679169,-191.679169,0.000000,1057.242107,1.937115,2048,1761982737
2,2048,-188.604294,-190.141731,1.537437,1341.527478,1.526618,4096,1761982738
3,2048,-246.237911,-208.840458,26.473771,190.360496,10.758535,6144,1761982749
4,2048,-199.161585,-206.420740,23.306877,2047999999999.999756,0.000000,8192,1761982741
5,2048,-250.000000,-215.744578,27.969703,1463.767157,1.399130,10240,1761982742
6,2048,-210.397061,-214.853325,25.610387,1431.329184,1.430838,12288,1761982743
7,2048,-250.000000,-235.033095,54.822728,189.416958,10.812126,14336,1761982754
8,2048,-185.499984,-228.841456,53.834885,2047999999999.999756,0.000000,16384,1761982746
9,2048,-176.321783,-223.005937,53.372272,1482.393141,1.381550,18432,1761982747
10,2048,-239.604166,-224.665759,50.877644,1493.848149,1.370956,20480,1761982748
11,2048,-155.372927,-218.366411,52.440740,191.124766,10.715513,22528,1761982759
12,2048,-99.610980,-208.470125,59.984691,2047999999999.999756,0.000000,24576,1761982751
13,2048,-67.159193,-197.600053,68.842450,1395.204195,1.467885,26624,1761982752
14,2048,-79.035709,-189.131172,73.028406,1462.251676,1.400580,28672,1761982754
15,2048,-79.951858,-181.852551,75.626063,2307.621008,0.887494,30720,1761982755
16,2048,-71.760673,-174.971808,77.923131,1466.962622,1.396082,32768,1761982756
17,2048,-67.566417,-168.653844,79.708869,1432.082526,1.430085,34816,1761982757
18,2048,-67.755712,-163.048392,80.837429,1375.696997,1.488700,36864,1761982759
19,2048,-33.937686,-156.253092,83.796949,1933.678290,1.059121,38912,1761982760
20,2048,-84.390682,-152.659972,83.163286,1432.558994,1.429610,40960,1761982761
21,2048,-111.832023,-150.715784,81.623464,1478.373349,1.385306,43008,1761982763
22,2048,-74.041758,-147.230601,81.330378,1470.551610,1.392675,45056,1761982764
23,2048,-117.667079,-145.945230,79.770832,2075.040358,0.986969,47104,1761982765
24,2048,-72.177017,-142.871555,79.470351,1476.065914,1.387472,49152,1761982766
25,2048,-80.964801,-140.395284,78.804068,1501.226872,1.364218,51200,1761982768
26,2048,-110.087783,-139.229611,77.493237,1466.820088,1.396218,53248,1761982769
27,2048,-128.083601,-138.816796,76.073765,2320.223724,0.882674,55296,1761982770
28,2048,-143.343028,-138.978447,74.707676,1444.287747,1.418000,57344,1761982772
29,2048,-41.748929,-135.625705,75.521686,1504.392648,1.361347,59392,1761982773
30,2048,-88.281261,-134.047557,74.737096,1504.665390,1.361100,61440,1761982774
31,2048,-28.010195,-130.626997,75.871330,2391.011119,0.856541,63488,1761982775
32,2048,12.946552,-126.140324,78.743932,1457.363413,1.405277,65536,1761982777
33,2048,-57.433357,-124.058294,78.431019,1360.044654,1.505833,67584,1761982778
34,2048,-80.961770,-122.790749,77.611343,1484.416633,1.379667,69632,1761982779
35,2048,-21.677196,-119.901791,78.327433,2353.063126,0.870355,71680,1761982780
36,2048,-8.847150,-116.816940,79.358904,1482.111791,1.381812,73728,1761982782
37,2048,-5.788432,-113.816169,80.323037,1484.163747,1.379902,75776,1761982783
38,2048,-16.397487,-111.252520,80.778595,1556.933653,1.315406,77824,1761982784
39,2048,21.829881,-107.840150,82.464241,2410.532393,0.849605,79872,1761982785
40,2048,55.150593,-103.765382,85.310539,1396.790251,1.466219,81920,1761982787
41,2048,28.886433,-100.529972,86.712708,1413.688957,1.448692,83968,1761982788
42,2048,68.514455,-96.505104,89.466472,1484.407655,1.379675,86016,1761982790
43,2048,-8.154083,-94.450429,89.417085,2149.381014,0.952832,88064,1761982790
44,2048,-6.405691,-92.449413,89.363729,1474.527404,1.388920,90112,1761982792
45,2048,37.591820,-89.559608,90.420435,1506.252150,1.359666,92160,1761982793
46,2048,131.948099,-84.744223,95.087202,1491.276762,1.373320,94208,1761982795
47,2048,37.624623,-82.140630,95.713228,2219.157440,0.922873,96256,1761982796
48,2048,26.036127,-79.886948,95.962932,1507.081687,1.358918,98304,1761982797
49,2048,90.391645,-76.411874,97.982664,1421.475395,1.440757,100352,1761982798
50,2048,17.435888,-74.534919,97.883683,1465.889414,1.397104,102400,1761982800
51,2048,41.556353,-72.258620,98.246758,2220.927499,0.922137,104448,1761982801
52,2048,132.197443,-68.326772,101.268122,1496.146929,1.368850,106496,1761982802
53,2048,47.065134,-66.149567,101.529450,1448.748095,1.413634,108544,1761982803
54,2048,133.462811,-62.453041,104.122735,190.079500,10.774439,110592,1761982814
55,2048,18.398383,-60.983015,103.735807,2047999999999.999756,0.000000,112640,1761982806
56,2048,3.559817,-59.830465,103.160145,1487.860437,1.376473,114688,1761982807
57,2048,85.055760,-57.288601,104.005449,1518.922146,1.348325,116736,1761982809
58,2048,48.145520,-55.470771,104.014364,189.271674,10.820425,118784,1761982819
59,2048,151.430128,-51.963976,106.531106,2047999999999.999756,0.000000,120832,1761982811
60,2048,43.784640,-50.368166,106.348383,1435.815562,1.426367,122880,1761982812
61,2048,102.285381,-47.865649,107.239567,1405.397092,1.457239,124928,1761982814
62,2048,125.270367,-45.073133,108.584173,2144.571320,0.954969,126976,1761982815
63,2048,38.627662,-43.744549,108.225736,1529.882918,1.338665,129024,1761982816
64,2048,65.697360,-42.034519,108.231335,1443.071180,1.419195,131072,1761982817
65,2048,165.722269,-38.838260,110.397620,1454.116288,1.408416,133120,1761982819
66,2048,80.282862,-37.033395,110.520195,2054.651415,0.996763,135168,1761982820
67,2048,109.259672,-34.849916,111.117345,1497.617583,1.367505,137216,1761982821
68,2048,89.614153,-33.019562,111.310166,1469.010499,1.394136,139264,1761982823
69,2048,80.806921,-31.369903,111.334820,1471.877013,1.391421,141312,1761982824
70,2048,89.945227,-29.636830,111.470215,2266.849122,0.903457,143360,1761982825
71,2048,63.465451,-28.325530,111.224843,1464.588752,1.398345,145408,1761982826
72,2048,93.541962,-26.632926,111.366760,1481.258930,1.382608,147456,1761982828
73,2048,73.235289,-25.264868,111.208863,1519.968198,1.347397,149504,1761982829
74,2048,24.725792,-24.589319,110.605600,2445.201616,0.837559,151552,1761982830
75,2048,100.387986,-22.922955,110.796954,1446.058021,1.416264,153600,1761982831
76,2048,-72.132280,-23.570446,110.208360,1409.001834,1.453511,155648,1761982833
77,2048,-19.150603,-23.513045,109.491526,1501.263341,1.364184,157696,1761982834
78,2048,-8.068194,-23.315035,108.801268,2358.975212,0.868174,159744,1761982835
79,2048,0.270710,-23.016481,108.142609,1502.844771,1.362749,161792,1761982836
80,2048,12.231027,-22.575887,107.535921,1526.296041,1.341810,163840,1761982838
81,2048,2.528563,-22.265955,106.906004,1425.722621,1.436465,165888,1761982839
82,2048,30.714620,-21.619851,106.411139,2454.205321,0.834486,167936,1761982840
83,2048,51.519758,-20.738651,106.068746,1490.644286,1.373903,169984,1761982841
84,2048,82.863470,-19.505292,106.032546,1435.685015,1.426497,172032,1761982843
85,2048,5.736749,-19.208327,105.442113,1440.434010,1.421794,174080,1761982844
86,2048,71.406471,-18.154667,105.276430,2156.409566,0.949727,176128,1761982845
87,2048,74.125784,-17.093972,105.130827,1471.265418,1.391999,178176,1761982847
88,2048,21.565150,-16.654664,104.612067,1377.177382,1.487100,180224,1761982848
89,2048,24.387129,-16.193520,104.112609,1480.990011,1.382859,182272,1761982849
90,2048,-4.086414,-16.058996,103.540368,2217.664983,0.923494,184320,1761982850
91,2048,-35.267607,-16.270080,102.989364,1438.967881,1.423242,186368,1761982852
92,2048,16.261801,-15.916473,102.483638,1503.853780,1.361835,188416,1761982853
93,2048,-89.694517,-16.709785,102.214781,1487.914043,1.376424,190464,1761982854
94,2048,-18.399734,-16.727763,101.669779,2196.051523,0.932583,192512,1761982855
95,2048,-132.276076,-17.944061,101.818456,1534.712201,1.334452,194560,1761982857
96,2048,-183.029319,-19.663699,102.664201,1452.164687,1.410308,196608,1761982858
97,2048,-48.689015,-19.962929,102.175705,1434.882337,1.427295,198656,1761982860
98,2048,-22.478304,-19.988596,101.653378,2508.223207,0.816514,200704,1761982860
99,2048,-61.537195,-20.408279,101.223972,1379.722770,1.484356,202752,1761982862
100,2048,-12.962461,-20.333821,100.719305,1483.638758,1.380390,204800,1761982863
101,2048,-140.935728,-19.826387,99.979882,1466.807564,1.396230,206848,1761982865
102,2048,32.392544,-17.616418,98.658508,2094.754999,0.977680,208896,1761982866
103,2048,18.045817,-14.973581,96.002900,1543.339253,1.326993,210944,1761982867
104,2048,79.614039,-12.185825,94.652000,1481.234154,1.382631,212992,1761982868
105,2048,10.918410,-9.546241,91.527399,1427.930295,1.434244,215040,1761982870
106,2048,-106.078365,-8.503054,89.810637,2277.430411,0.899259,217088,1761982871
107,2048,-41.089327,-5.352831,82.815020,1423.413018,1.438795,219136,1761982872
108,2048,44.207044,-3.055760,80.951114,1475.017089,1.388458,221184,1761982874
109,2048,-60.411076,-1.896653,79.274362,187.512829,10.921919,223232,1761982884
110,2048,-8.867615,0.410712,75.594562,2047999999999.999756,0.000000,225280,1761982876
111,2048,181.681872,3.781260,76.086031,1439.733631,1.422485,227328,1761982877
112,2048,77.316128,5.550531,75.717423,1426.504183,1.435678,229376,1761982879
113,2048,24.842127,6.470545,75.386579,2366.783278,0.865309,231424,1761982880
114,2048,46.732172,7.728223,74.997675,1427.455715,1.434721,233472,1761982881
115,2048,1.840475,8.546147,74.481212,1455.602612,1.406977,235520,1761982883
116,2048,45.850430,9.722258,74.131586,1431.811117,1.430356,237568,1761982884
117,2048,103.857332,11.436495,74.306340,2351.926635,0.870775,239616,1761982885
118,2048,70.791590,12.821968,74.108224,1393.730500,1.469438,241664,1761982886
119,2048,96.599711,14.127342,74.422088,1462.189449,1.400639,243712,1761982888
120,2048,20.096287,15.172212,73.762143,1454.179306,1.408355,245760,1761982889
121,2048,32.636682,16.616899,72.667159,1977.940976,1.035420,247808,1761982890
122,2048,56.487475,17.922191,72.197776,1424.330198,1.437869,249856,1761982892
123,2048,38.099144,19.479854,70.924743,1449.295136,1.413101,251904,1761982893
124,2048,16.744716,20.369071,70.324913,1456.205694,1.406395,253952,1761982894
125,2048,171.704152,22.895760,71.172655,2199.577901,0.931088,256000,1761982895
126,2048,58.018844,24.576827,69.987220,1493.420657,1.371348,258048,1761982897
127,2048,114.457801,27.002241,68.848109,1451.946721,1.410520,260096,1761982898
128,2048,86.051822,29.296189,66.929017,1469.826926,1.393361,262144,1761982899
129,2048,47.685903,30.190538,66.570273,2096.786496,0.976733,264192,1761982900
